date,apy_roi,apy_cpi,cpi_one_dollar,roi_one_dollar,num_il_2,num_il_1,num_al_2,num_al_1,num_il,num_non_taylor_2,num_non_taylor_1,num_non_taylor,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_inv_lc_norm,cum_mo_earn_inv_lc_norm,mo_earn_inv_cc_norm,cum_mo_earn_inv_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_ss_norm,cum_mo_earn_ss_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,mo_earn_pen_norm,cum_mo_earn_pen_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,mo_exp_lc_norm,cum_mo_exp_lc_norm,mo_exp_cc_norm,cum_mo_exp_cc_norm,mo_exp_al_cc_norm,cum_mo_exp_al_cc_norm,mo_exp_non_taylor_norm,cum_mo_exp_non_taylor_norm,mo_exp_total_lc_norm,cum_mo_exp_total_lc_norm,mo_exp_total_cc_norm,cum_mo_exp_total_cc_norm
2026-07-31,4.00000000000007,2.0000000000000684,1.0016515813019202,1.003273739782199,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,20590.5536544413,20590.5536544413,33947.58789136383,33947.58789136383,33947.58789136383,33947.58789136383,10202.747758329882,10202.747758329882,10202.747758329882,10202.747758329882,3445.0,3445.0,2667.0,2667.0,6112.0,6112.0,5695.593264660743,5695.593264660743,1549.4409722617834,1549.4409722617834,7245.034236922527,7245.034236922527,919212.0,494365.09160889767,9620794.809064979,6257680.945803288,3363113.8632616904,9600.0,9600.0,3753.091608897652,3753.091608897652,0.0,0.0,9612.0,9612.0,917728.027729127,917728.027729127,493571.9908730199,493571.9908730199
2026-08-31,4.00000000000007,2.0000000000000684,1.0033058903246372,1.0065581969365593,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,38181.05355576255,39567.340481911895,30969.53900575044,64917.12689711427,32355.82593189978,66303.4138232636,8733.025295496589,18935.773053826473,9419.939113626075,19622.686871955957,3445.0,6890.0,2667.0,5334.0,6112.0,12224.0,5686.202039693047,11381.79530435379,1546.8861639971267,3096.3271362589103,7233.088203690173,14478.1224406127,938392.3221385911,507711.2402362326,9620794.809064979,6257680.945803288,3363113.8632616904,9600.0,19200.0,3756.1857666074584,7509.27737550511,0.0,0.0,9612.0,19224.0,19212.00000000006,936940.0277291271,13368.185766607467,506940.1766396274
2026-09-30,4.00000000000007,2.0000000000000684,1.0049629315732038,1.009853406548969,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,55718.10357207286,58505.20542619836,30933.167022692054,95850.29391980632,32336.267741065854,98639.68156432945,8720.912324872366,27656.68537869884,9416.157481916096,29038.844353872053,3445.0,10335.0,2667.0,8001.0,6112.0,18336.0,5676.826299522506,17058.621603876294,1544.3355682487168,4640.6627045076275,7221.161867771223,21699.284308383925,957541.018648071,521038.4796672064,9620794.809064979,6257680.945803288,3363113.8632616904,9600.0,28800.0,3759.282475230733,11268.559850735843,0.0,0.0,9612.0,28836.0,19211.999999999964,956152.0277291271,13371.282475230757,520311.4591148581
2026-10-31,4.00000000000007,2.0000000000000684,1.006622709560113,1.0131594038201774,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,73201.94130489923,77404.32428955498,30896.964174721288,126747.25809452761,32316.840840660014,130956.52240498946,8708.873417690393,36365.55879638923,9412.431161383527,38451.27551525558,3445.0,13780.0,2667.0,10668.0,6112.0,24448.0,5667.46601861689,22726.087622493185,1541.7891780707123,6182.45188257834,7209.255196687603,28908.539505071527,976658.1416746137,534346.8436334169,9620794.809064979,6257680.945803288,3363113.8632616904,9600.000000000004,38400.0,3762.3817368705227,15030.941587606365,0.0,0.0,9611.999999999998,38448.0,19211.99999999995,975364.0277291271,13374.381736870473,533685.8408517286
2026-11-30,4.00000000000007,2.0000000000000684,1.0082852288053108,1.0164762240661724,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,90632.80389432967,96264.87256875164,30860.930359745842,157608.18845427345,32297.545182646296,163254.06758763577,8696.908539429844,45062.46733581908,9408.760144292817,47860.03565954839,3445.0,17225.0,2667.0,13335.0,6112.0,30560.0,5658.121171486065,28384.20879397925,1539.2469865287244,7721.698869107064,7197.3681580147895,36105.90766308631,995743.7432784118,547636.3658129479,9620794.809064979,6257680.945803288,3363113.8632616904,9600.000000000002,48000.0,3765.4835536316104,18796.425141237974,0.0,0.0,9612.0,48060.0,19212.000000000025,994576.0277291271,13377.483553631622,547063.3244053602
2026-12-31,4.00000000000007,2.0000000000000684,1.009950493836208,1.0198039027185573,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,108010.92802017526,115087.02545588267,30825.065476128046,188433.2539304015,32278.380719347384,195532.44830698316,8685.017655768703,53747.48499158778,9405.144423059606,57265.180082608,3445.0,20670.0,2667.0,16002.0,6112.0,36672.0,5648.791732681925,34033.00052666118,1536.708986699798,9258.407855806861,7185.500719381724,43291.408382468035,1014797.8754338176,560907.0798304593,9620794.809064979,6257680.945803288,3363113.8632616904,9600.0,57600.0,3768.5879276205096,22565.013068858483,0.0,0.0,9612.000000000004,57672.0,19211.99999999998,1013788.0277291271,13380.587927620516,560443.9123329807
2027-01-31,4.00000000000007,2.0000000000000684,1.011618509187693,1.0231424753249287,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,125336.54990313006,133870.95783917443,30789.369422684635,219222.62335308612,32259.347403444473,227791.79571042763,8673.200732583622,62420.6857241714,9401.583990250738,66666.76407285874,3445.0,24115.0,2667.0,18669.0,6112.0,42784.0,5639.4776767983285,39672.478203459505,1534.1751716723938,10792.583027479255,7173.652848470722,50465.06123093876,1033820.5900294854,574159.0192572771,9620794.809064979,6257680.945803288,3363113.8632616904,9599.999999999993,67200.0,3771.6948609454735,26336.707929803957,0.0,0.0,9611.999999999995,67284.0,19212.000000000073,1033000.0277291272,13383.69486094541,573827.6071939261
2027-02-28,4.00000000000007,2.0000000000000684,1.0132892794021437,1.0264919775492574,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,142609.90530592887,152616.8443037913,30753.842098686364,249976.4654517725,32240.445187977064,260032.24089840468,8661.457735949853,71082.14346012125,9398.078838584228,76064.84291144297,3445.0,27560.0,2667.0,21336.0,6112.0,48896.0,5630.178978471023,45302.657181930525,1531.6455345463676,12324.228562025623,7161.82451301739,57626.88574395615,1052811.9388685126,587392.2176114831,9620794.809064979,6257680.945803288,3363113.8632616904,9600.000000000004,76800.0,3774.804355716494,30111.51228552045,0.0,0.0,9611.999999999996,76896.0,19212.000000000087,1052212.0277291273,13386.80435571654,587214.4115496427
2027-03-31,4.00000000000007,2.0000000000000684,1.0149628090294405,1.0298524451722684,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,159831.229534503,171324.8591326404,30718.48340385779,280694.9488556303,32221.674026342946,292253.9149247476,8649.788632141128,79731.93209226237,9394.628960929227,85459.4718723722,3445.0,31005.0,2667.0,24003.0,6112.0,55008.0,5620.895612377574,50923.552794308096,1529.1200684329528,13853.348630458575,7150.015680810528,64776.90142476668,1071771.97366858,600606.7083580038,9620794.809064979,6257680.945803288,3363113.8632616904,9600.000000000002,86400.0,3777.9164140453026,33889.42869956575,0.0,0.0,9612.0,86508.0,19211.9999999998,1071424.027729127,13389.916414045325,600604.3279636881
2027-04-30,4.00000000000007,2.0000000000000684,1.0166391026269779,1.0332239140918236,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,177000.75743913377,189995.17630717516,30683.293238376966,311378.24209400726,32203.03387229798,324456.94879704557,8638.193387629597,88370.12547989197,9391.234350305996,94850.7062226782,3445.0,34450.0,2667.0,26670.0,6112.0,61120.0,5611.627553237307,56535.18034754541,1526.5987664547417,15379.947396913316,7138.226319692049,71915.12774445873,1090700.746062094,613802.5249087006,9620794.809064979,6257680.945803288,3363113.8632616904,9599.999999999996,96000.0,3781.03103804537,37670.45973761112,0.0,0.0,9612.000000000004,96120.0,19212.000000000127,1090636.0277291273,13393.031038045387,613997.3590017335
