date,apy_roi,apy_cpi,cpi_one_dollar,roi_one_dollar,num_il_2,num_il_1,num_al_2,num_al_1,num_il,num_non_taylor_2,num_non_taylor_1,num_non_taylor,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_inv_lc_norm,cum_mo_earn_inv_lc_norm,mo_earn_inv_cc_norm,cum_mo_earn_inv_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_ss_norm,cum_mo_earn_ss_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,mo_earn_pen_norm,cum_mo_earn_pen_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,mo_exp_lc_norm,cum_mo_exp_lc_norm,mo_exp_cc_norm,cum_mo_exp_cc_norm,mo_exp_al_cc_norm,cum_mo_exp_al_cc_norm,mo_exp_non_taylor_norm,cum_mo_exp_non_taylor_norm,mo_exp_total_lc_norm,cum_mo_exp_total_lc_norm,mo_exp_total_cc_norm,cum_mo_exp_total_cc_norm
2026-07-31,4.00000000000007,4.00000000000007,1.003273739782199,1.003273739782199,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,20557.261503057533,20557.261503057533,33902.581495640436,33902.581495640436,33902.581495640436,33902.581495640436,0.0,0.0,0.0,0.0,3445.0,3445.0,2667.0,2667.0,6112.0,6112.0,5686.384257638898,5686.384257638898,1546.9357349440086,1546.9357349440086,7233.319992582907,7233.319992582907,919212.0,494368.1182325902,5383724.751643294,5807201.412367881,221943,9600.0,9600.0,3756.1182325901955,3756.1182325901955,0.0,0.0,9612.0,9612.0,916275.248356706,916275.248356706,492798.58763211867,492798.58763211867
2026-08-31,4.00000000000007,4.00000000000007,1.0065581969365593,1.0065581969365593,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,38057.58476964635,39439.41341329031,30889.12004486732,64791.701540507755,32270.94868851128,66173.53018415172,0.0,0.0,0.0,0.0,3445.0,6890.0,2667.0,5334.0,6112.0,12224.0,5667.829259513318,11354.213517152217,1541.88799487549,3088.8237298194986,7209.717254388808,14443.037246971715,938361.3101415879,507698.74374296784,5367502.610355873,5795435.195989563,221943,9600.0,19200.0,3762.2464472523984,7518.364679842594,0.0,0.0,9612.000000000002,19224.0,19212.00000000006,935487.248356706,13374.246447252379,506172.83407937107
2026-09-30,4.00000000000007,4.00000000000007,1.009853406548969,1.009853406548969,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,55447.86969935193,58221.55793915011,30812.660545891667,95604.36208639943,32209.029128201408,98382.55931235313,0.0,0.0,0.0,0.0,3445.0,10335.0,2667.0,8001.0,6112.0,18336.0,5649.334807411335,17003.54832456355,1536.856725872461,4625.68045569196,7186.191533283796,21629.22878025551,957448.1349853687,520992.00887039484,5351333.402846321,5783701.235237431,221943,9600.000000000002,28800.0,3768.3846602726458,11286.74934011524,0.0,0.0,9612.0,28836.0,19211.99999999994,954699.248356706,13380.384660272686,519553.21873964375
2026-10-31,4.00000000000007,4.00000000000007,1.0131594038201774,1.0131594038201774,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,72728.64807953632,76904.12666242983,30736.450538648525,126340.81262504795,32147.291585628547,130529.85089798167,0.0,0.0,0.0,0.0,3445.0,13780.0,2667.0,10668.0,6112.0,24448.0,5630.900703767798,22634.44902833135,1531.8418741888909,6157.5223298808505,7162.742577956689,28791.9713582122,976472.6784244549,534248.0455386153,5335216.956388688,5771999.414844853,221943,9600.0,38400.0,3774.5328879635463,15061.282228078788,0.0,0.0,9612.000000000002,38448.0,19212.000000000025,973911.248356706,13386.53288796349,532939.7516276073
2026-11-30,4.00000000000007,4.00000000000007,1.0164762240661724,1.0164762240661724,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,89900.44939869411,95487.54938052458,30660.489209032068,157001.30183408002,32085.73543417996,162615.58633216162,0.0,0.0,0.0,0.0,3445.0,17225.0,2667.0,13335.0,6112.0,30560.0,5612.526751662226,28246.975779993576,1526.8433862541235,7684.365716134974,7139.370137916349,35931.341496128545,995435.1436866436,547466.9852572377,5319153.09882063,5760329.619904984,221943,9599.999999999998,48000.0,3780.6911466643182,18841.973374743106,0.0,0.0,9611.999999999998,48060.0,19212.000000000055,993123.248356706,13392.69114666437,546332.4427742716
2026-12-31,4.00000000000007,4.00000000000007,1.0198039027185573,1.0198039027185573,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,106963.80085579303,113972.25411342825,30584.775745592895,187586.0775796729,32024.3600492342,194639.94638139583,0.0,0.0,0.0,0.0,3445.0,20670.0,2667.0,16002.0,6112.0,36672.0,5594.212754816698,33841.18853481027,1521.8612086723076,9206.22692480728,7116.073963489006,43047.41545961755,1014335.7333365884,560648.9591231131,5303141.658541583,5748691.735869555,221943,9600.0,57600.0,3786.8594527408477,22628.83282748395,0.0,0.0,9612.000000000002,57672.0,19212.0,1012335.248356706,13398.85945274082,559731.3022270125
2027-01-31,4.00000000000007,4.00000000000007,1.0231424753249287,1.0231424753249287,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,123919.2273695778,132358.66711070342,30509.30933952949,218095.3869192024,31963.16480815467,226603.1111895505,0.0,0.0,0.0,0.0,3445.0,24115.0,2667.0,18669.0,6112.0,42784.0,5575.95851759376,39417.147052404034,1516.8952882218257,10723.122213029106,7092.8538058155855,50140.26926543313,1033174.6492779623,573794.0978217083,5287182.464510928,5737085.648547688,221943,9600.000000000007,67200.0,3793.0378225857157,26421.870650069668,0.0,0.0,9612.0,67284.0,19212.000000000022,1031547.248356706,13405.037822585777,573136.3400495982
2027-02-28,4.00000000000007,4.00000000000007,1.0264919775492574,1.0264919775492574,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,140767.25158783782,150647.21285842443,30434.089184679422,248529.4761038818,31902.149090282925,258505.2602798334,0.0,0.0,0.0,0.0,3445.0,27560.0,2667.0,21336.0,6112.0,48896.0,5557.763844994336,44974.91089739837,1511.9455718547256,12235.067784883831,7069.709416849062,57209.97868228219,1051952.0927556155,586902.5316284755,5271275.346246154,5725511.244104693,221943,9600.000000000007,76800.0,3799.226272618245,30221.096922687913,0.0,0.0,9611.999999999998,76896.0,19211.99999999992,1050759.248356706,13411.226272618203,586547.5663222164
2027-03-31,4.00000000000007,4.00000000000007,1.0298524451722684,1.0298524451722684,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,157508.39389663853,168838.31408609415,30359.11447751089,278888.5905813927,31841.312276932178,290346.5725567656,0.0,0.0,0.0,0.0,3445.0,31005.0,2667.0,24003.0,6112.0,55008.0,5539.62854265564,50514.53944005401,1507.0120066961529,13742.079791579985,7046.640549351792,64256.61923163399,1070668.2643577245,599974.3904102169,5255420.1338210525,5713968.409060885,221943,9600.000000000004,86400.0,3805.4248192845507,34026.521741972465,0.0,0.0,9611.999999999998,86508.0,19212.00000000006,1069971.248356706,13417.424819284584,599964.991141501
2027-04-30,4.00000000000007,4.00000000000007,1.0332239140918236,1.0332239140918236,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,174143.17242951682,186932.391773534,30284.384417114015,309172.9749985067,31780.653751380873,322127.22630814643,0.0,0.0,0.0,0.0,3445.0,34450.0,2667.0,26670.0,6112.0,61120.0,5521.552416849105,56036.09185690311,1502.094540043788,15244.174331623773,7023.646956892892,71280.26618852688,1089323.3640179348,613009.8036264443,5239616.65786389,5702457.030290397,221943,9600.000000000005,96000.0,3811.633479057588,37838.15522103005,0.0,0.0,9612.000000000004,96120.0,19212.00000000001,1089183.248356706,13423.633479057522,613388.6246205586
2027-05-31,4.00000000000007,4.00000000000007,1.0366064203233052,1.0366064203233052,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,190672.10307664043,204929.865157748,30209.898205192294,339382.873203699,31720.172898865996,353847.39920701244,0.0,0.0,0.0,0.0,3445.0,37895.0,2667.0,29337.0,6112.0,67232.0,5503.53527447831,61539.62713138142,1497.1931193672808,16741.367450991056,7000.728393845591,78280.99458237247,1107917.5910174975,626008.9003307361,5223864.7495556,5690976.995019997,221943,9600.000000000002,105600.0,3817.85226843718,41656.00748946723,0.0,0.0,9611.999999999995,105732.0,19211.99999999998,1108395.248356706,13429.852268437196,626818.4768889957
2027-06-30,4.00000000000007,4.00000000000007,1.0400000000000005,1.0400000000000005,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,207095.69949393155,222831.15173976013,30135.655046054228,369518.52824975323,31659.869106576778,385507.2683135892,0.0,0.0,0.0,0.0,3445.0,41340.0,2667.0,32004.0,6112.0,73344.0,5485.57692307692,67025.20405445834,1492.3076923076917,18233.675143298748,6977.884615384612,85258.87919775708,1126451.143987397,638971.8091720878,5208164.240627987,5679528.190827913,221943,9599.999999999996,115200.0,3824.08120395006,45480.08869341729,0.0,0.0,9612.000000000005,115344.0,19211.999999999975,1127607.248356706,13436.081203950065,640254.5580929458
2027-07-31,4.00000000000007,4.00000000000007,1.0434046893734874,1.0434046893734874,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,223414.4731121549,240636.66729142595,30061.654146604596,399580.1823963578,31599.741763648097,417107.0100772373,0.0,0.0,0.0,0.0,3445.0,44785.0,2667.0,34671.0,6112.0,79456.0,5467.67717080663,72492.88122526498,1487.4382066769306,19721.11334997568,6955.11537748356,92213.99457524063,1144924.220910474,651898.6583962596,5192514.9633619245,5668110.505642654,221943,9600.000000000002,124800.0,3830.320302149941,49310.40899556723,0.0,0.0,9612.000000000007,124956.0,19212.000000000036,1146819.248356706,13442.320302149983,653696.8783950958
